"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"1","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",990,21,13,9,10,2,5,15,33.3,10,11,2,9,14,35,6,1
"2","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",990,12,8,9,3,0,4,15,26.7,11,9,3,6,11,23,40,0
"3","Premier League","2019-08-10","Premier League (Matchweek 1)","West Ham United","4-2-3-1",0,1.1,"","2","0","Manchester City","4-3-3",5,3.2,"Gabriel Jesus · 25&rsquor; Raheem Sterling · 51&rsquor; Raheem Sterling · 75&rsquor; Sergio Agüero (P) · 86&rsquor; Raheem Sterling · 90+1&rsquor;","2","0","https://fbref.com/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League","West Ham United","Home",990,18,10,7,7,4,5,18,27.8,13,7,2,5,9,27,10,1
"4","Premier League","2019-08-10","Premier League (Matchweek 1)","West Ham United","4-2-3-1",0,1.1,"","2","0","Manchester City","4-3-3",5,3.2,"Gabriel Jesus · 25&rsquor; Raheem Sterling · 51&rsquor; Raheem Sterling · 75&rsquor; Sergio Agüero (P) · 86&rsquor; Raheem Sterling · 90+1&rsquor;","2","0","https://fbref.com/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League","Manchester City","Away",990,18,13,8,9,1,4,12,33.3,8,8,0,8,13,31,13,0
"5","Premier League","2019-08-10","Premier League (Matchweek 1)","Burnley","4-4-2",3,0.9,"Ashley Barnes · 63&rsquor; Ashley Barnes · 70&rsquor; Jóhann Berg Guðmundsson · 75&rsquor;","0","0","Southampton","3-4-3",0,1.2,"","0","0","https://fbref.com/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League","Burnley","Home",990,21,12,13,8,0,5,11,45.5,6,14,3,11,14,35,14,0
"6","Premier League","2019-08-10","Premier League (Matchweek 1)","Burnley","4-4-2",3,0.9,"Ashley Barnes · 63&rsquor; Ashley Barnes · 70&rsquor; Jóhann Berg Guðmundsson · 75&rsquor;","0","0","Southampton","3-4-3",0,1.2,"","0","0","https://fbref.com/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League","Southampton","Away",990,7,5,2,4,1,1,15,6.7,14,10,1,9,10,17,18,1
"7","Premier League","2019-08-10","Premier League (Matchweek 1)","Watford","4-2-2-2",0,0.7,"","0","0","Brighton & Hove Albion","3-4-3",3,0.8,"Abdoulaye Doucouré (OG) · 28&rsquor; Florin Andone · 65&rsquor; Neal Maupay · 77&rsquor;","1","0","https://fbref.com/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League","Watford","Home",990,12,4,6,4,2,6,12,50,6,11,0,11,12,24,13,0
"8","Premier League","2019-08-10","Premier League (Matchweek 1)","Watford","4-2-2-2",0,0.7,"","0","0","Brighton & Hove Albion","3-4-3",3,0.8,"Abdoulaye Doucouré (OG) · 28&rsquor; Florin Andone · 65&rsquor; Neal Maupay · 77&rsquor;","1","0","https://fbref.com/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League","Brighton & Hove Albion","Away",990,24,14,15,7,2,6,15,40,9,11,4,7,11,35,25,1
"9","Premier League","2019-08-10","Premier League (Matchweek 1)","Crystal Palace","4-4-2",0,0.9,"","2","0","Everton","4-2-3-1",0,1.1,"Morgan Schneiderlin · 76&rsquor;","4","1","https://fbref.com/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League","Crystal Palace","Home",990,21,14,7,11,3,9,14,64.3,5,16,5,11,10,31,24,1
"10","Premier League","2019-08-10","Premier League (Matchweek 1)","Crystal Palace","4-4-2",0,0.9,"","2","0","Everton","4-2-3-1",0,1.1,"Morgan Schneiderlin · 76&rsquor;","4","1","https://fbref.com/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League","Everton","Away",975,14,7,9,4,1,4,12,33.3,8,11,4,7,14,28,19,0
"11","Premier League","2019-08-10","Premier League (Matchweek 1)","Bournemouth","3-4-3",1,1.3,"Chris Mepham · 62&rsquor;","2","0","Sheffield United","3-5-2",1,1.3,"Billy Sharp · 88&rsquor;","1","0","https://fbref.com/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League","Bournemouth","Home",990,18,13,13,3,2,9,15,60,6,6,1,5,13,31,15,0
"12","Premier League","2019-08-10","Premier League (Matchweek 1)","Bournemouth","3-4-3",1,1.3,"Chris Mepham · 62&rsquor;","2","0","Sheffield United","3-5-2",1,1.3,"Billy Sharp · 88&rsquor;","1","0","https://fbref.com/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League","Sheffield United","Away",990,14,11,7,5,2,9,17,52.9,8,14,2,12,14,28,16,0
"13","Premier League","2019-08-10","Premier League (Matchweek 1)","Tottenham Hotspur","4-3-1-2",3,2.4,"Tanguy Ndombele · 73&rsquor; Harry Kane · 86&rsquor; Harry Kane · 90&rsquor;","1","0","Aston Villa","4-1-4-1",1,0.7,"John McGinn · 9&rsquor;","0","0","https://fbref.com/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League","Tottenham Hotspur","Home",990,17,12,6,6,5,4,8,50,4,9,1,8,5,22,6,1
"14","Premier League","2019-08-10","Premier League (Matchweek 1)","Tottenham Hotspur","4-3-1-2",3,2.4,"Tanguy Ndombele · 73&rsquor; Harry Kane · 86&rsquor; Harry Kane · 90&rsquor;","1","0","Aston Villa","4-1-4-1",1,0.7,"John McGinn · 9&rsquor;","0","0","https://fbref.com/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League","Aston Villa","Away",990,29,13,18,8,3,14,25,56,11,18,11,7,9,38,46,1
"15","Premier League","2019-08-11","Premier League (Matchweek 1)","Newcastle United","3-5-2",0,0.4,"","1","0","Arsenal","4-2-3-1",1,1.1,"Pierre-Emerick Aubameyang · 58&rsquor;","3","0","https://fbref.com/en/matches/1405a610/Newcastle-United-Arsenal-August-11-2019-Premier-League","Newcastle United","Home",990,26,17,19,7,0,13,25,52,12,9,2,7,20,46,17,0
"16","Premier League","2019-08-11","Premier League (Matchweek 1)","Newcastle United","3-5-2",0,0.4,"","1","0","Arsenal","4-2-3-1",1,1.1,"Pierre-Emerick Aubameyang · 58&rsquor;","3","0","https://fbref.com/en/matches/1405a610/Newcastle-United-Arsenal-August-11-2019-Premier-League","Arsenal","Away",990,11,6,6,5,0,7,18,38.9,11,8,3,5,6,17,22,0
"17","Premier League","2019-08-11","Premier League (Matchweek 1)","Leicester City","4-1-4-1",0,0.7,"","0","0","Wolverhampton Wanderers","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League","Leicester City","Home",990,20,13,4,12,4,8,20,40,12,10,1,9,7,27,13,0
"18","Premier League","2019-08-11","Premier League (Matchweek 1)","Leicester City","4-1-4-1",0,0.7,"","0","0","Wolverhampton Wanderers","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League","Wolverhampton Wanderers","Away",990,19,11,14,4,1,12,28,42.9,16,18,5,13,9,28,35,0
