"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"19","Premier League","2019-08-11","Premier League (Matchweek 1)","Manchester United","4-2-3-1",4,2.2,"Marcus Rashford (P) · 18&rsquor; Anthony Martial · 65&rsquor; Marcus Rashford · 67&rsquor; Daniel James · 81&rsquor;","3","0","Chelsea","4-2-3-1",0,1,"","4","0","https://fbref.com/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League","Manchester United","Home",990,16,10,6,6,4,11,24,45.8,13,14,4,10,12,28,20,0
"20","Premier League","2019-08-11","Premier League (Matchweek 1)","Manchester United","4-2-3-1",4,2.2,"Marcus Rashford (P) · 18&rsquor; Anthony Martial · 65&rsquor; Marcus Rashford · 67&rsquor; Daniel James · 81&rsquor;","3","0","Chelsea","4-2-3-1",0,1,"","4","0","https://fbref.com/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League","Chelsea","Away",990,21,9,6,8,7,6,20,30,14,16,4,12,15,36,13,1
"21","Premier League","2019-08-17","Premier League (Matchweek 2)","Arsenal","4-2-3-1",2,0.8,"Alexandre Lacazette · 13&rsquor; Pierre-Emerick Aubameyang · 64&rsquor;","2","0","Burnley","4-4-2",1,1.5,"Ashley Barnes · 43&rsquor;","1","0","https://fbref.com/en/matches/ff7eda21/Arsenal-Burnley-August-17-2019-Premier-League","Arsenal","Home",990,12,7,5,6,1,6,10,60,4,8,4,4,9,21,30,0
"22","Premier League","2019-08-17","Premier League (Matchweek 2)","Arsenal","4-2-3-1",2,0.8,"Alexandre Lacazette · 13&rsquor; Pierre-Emerick Aubameyang · 64&rsquor;","2","0","Burnley","4-4-2",1,1.5,"Ashley Barnes · 43&rsquor;","1","0","https://fbref.com/en/matches/ff7eda21/Arsenal-Burnley-August-17-2019-Premier-League","Burnley","Away",990,16,11,4,9,3,6,20,30,14,9,3,6,6,22,27,0
"23","Premier League","2019-08-17","Premier League (Matchweek 2)","Norwich City","4-2-3-1",3,1.7,"Teemu Pukki · 32&rsquor; Teemu Pukki · 63&rsquor; Teemu Pukki · 75&rsquor;","1","0","Newcastle United","3-5-2",1,0.9,"Jonjo Shelvey · 90+3&rsquor;","3","0","https://fbref.com/en/matches/3ea63f4b/Norwich-City-Newcastle-United-August-17-2019-Premier-League","Norwich City","Home",990,14,11,7,7,0,6,13,46.2,7,6,1,5,5,19,23,0
"24","Premier League","2019-08-17","Premier League (Matchweek 2)","Norwich City","4-2-3-1",3,1.7,"Teemu Pukki · 32&rsquor; Teemu Pukki · 63&rsquor; Teemu Pukki · 75&rsquor;","1","0","Newcastle United","3-5-2",1,0.9,"Jonjo Shelvey · 90+3&rsquor;","3","0","https://fbref.com/en/matches/3ea63f4b/Norwich-City-Newcastle-United-August-17-2019-Premier-League","Newcastle United","Away",990,14,10,5,6,3,4,15,26.7,11,17,4,13,11,25,13,0
"25","Premier League","2019-08-17","Premier League (Matchweek 2)","Aston Villa","4-3-3",1,2,"Douglas Luiz · 71&rsquor;","0","0","Bournemouth","4-4-1-1",2,1.6,"Joshua King (P) · 2&rsquor; Harry Wilson · 12&rsquor;","2","0","https://fbref.com/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League","Aston Villa","Home",990,7,6,3,3,1,2,5,40,3,9,4,5,9,16,18,1
"26","Premier League","2019-08-17","Premier League (Matchweek 2)","Aston Villa","4-3-3",1,2,"Douglas Luiz · 71&rsquor;","0","0","Bournemouth","4-4-1-1",2,1.6,"Joshua King (P) · 2&rsquor; Harry Wilson · 12&rsquor;","2","0","https://fbref.com/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League","Bournemouth","Away",990,15,9,8,6,1,1,10,10,9,16,5,11,11,26,26,1
"27","Premier League","2019-08-17","Premier League (Matchweek 2)","Brighton & Hove Albion","3-4-3",1,2,"Leandro Trossard · 65&rsquor;","0","0","West Ham United","4-1-4-1",1,0.8,"Javier Hernández · 61&rsquor;","2","0","https://fbref.com/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League","Brighton & Hove Albion","Home",990,20,9,5,13,2,4,23,17.4,19,11,1,10,12,32,17,0
"28","Premier League","2019-08-17","Premier League (Matchweek 2)","Brighton & Hove Albion","3-4-3",1,2,"Leandro Trossard · 65&rsquor;","0","0","West Ham United","4-1-4-1",1,0.8,"Javier Hernández · 61&rsquor;","2","0","https://fbref.com/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League","West Ham United","Away",990,22,15,11,11,0,10,16,62.5,6,11,3,8,15,37,13,0
"29","Premier League","2019-08-17","Premier League (Matchweek 2)","Southampton","3-5-2",1,1.9,"Danny Ings · 83&rsquor;","2","0","Liverpool","4-3-3",2,1.3,"Sadio Mané · 45+1&rsquor; Roberto Firmino · 71&rsquor;","1","0","https://fbref.com/en/matches/b2a48847/Southampton-Liverpool-August-17-2019-Premier-League","Southampton","Home",990,15,8,6,7,2,8,18,44.4,10,15,2,13,10,25,30,1
"30","Premier League","2019-08-17","Premier League (Matchweek 2)","Southampton","3-5-2",1,1.9,"Danny Ings · 83&rsquor;","2","0","Liverpool","4-3-3",2,1.3,"Sadio Mané · 45+1&rsquor; Roberto Firmino · 71&rsquor;","1","0","https://fbref.com/en/matches/b2a48847/Southampton-Liverpool-August-17-2019-Premier-League","Liverpool","Away",990,7,2,2,4,1,1,11,9.1,10,9,4,5,10,17,30,2
"31","Premier League","2019-08-17","Premier League (Matchweek 2)","Everton","4-2-3-1",1,0.7,"Bernard · 10&rsquor;","2","0","Watford","4-2-2-2",0,1.2,"","3","0","https://fbref.com/en/matches/f35c8c3a/Everton-Watford-August-17-2019-Premier-League","Everton","Home",990,20,16,10,5,5,9,17,52.9,8,7,2,5,6,26,35,0
"32","Premier League","2019-08-17","Premier League (Matchweek 2)","Everton","4-2-3-1",1,0.7,"Bernard · 10&rsquor;","2","0","Watford","4-2-2-2",0,1.2,"","3","0","https://fbref.com/en/matches/f35c8c3a/Everton-Watford-August-17-2019-Premier-League","Watford","Away",990,34,19,13,16,5,10,29,34.5,19,16,4,12,9,43,13,0
"33","Premier League","2019-08-17","Premier League (Matchweek 2)","Manchester City","4-2-3-1",2,2.9,"Raheem Sterling · 20&rsquor; Sergio Agüero · 35&rsquor;","1","0","Tottenham Hotspur","4-2-3-1",2,0.1,"Érik Lamela · 23&rsquor; Lucas Moura · 56&rsquor;","0","0","https://fbref.com/en/matches/a4ba771e/Manchester-City-Tottenham-Hotspur-August-17-2019-Premier-League","Manchester City","Home",990,15,7,3,6,6,5,20,25,15,12,0,12,10,25,10,0
"34","Premier League","2019-08-17","Premier League (Matchweek 2)","Manchester City","4-2-3-1",2,2.9,"Raheem Sterling · 20&rsquor; Sergio Agüero · 35&rsquor;","1","0","Tottenham Hotspur","4-2-3-1",2,0.1,"Érik Lamela · 23&rsquor; Lucas Moura · 56&rsquor;","0","0","https://fbref.com/en/matches/a4ba771e/Manchester-City-Tottenham-Hotspur-August-17-2019-Premier-League","Tottenham Hotspur","Away",990,17,10,11,6,0,8,17,47.1,9,22,12,10,6,23,26,1
"35","Premier League","2019-08-18","Premier League (Matchweek 2)","Sheffield United","3-5-2",1,2.2,"John Lundstram · 47&rsquor;","3","0","Crystal Palace","4-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/7ca12d31/Sheffield-United-Crystal-Palace-August-18-2019-Premier-League","Sheffield United","Home",990,20,11,11,6,3,10,20,50,10,12,2,10,14,34,38,0
"36","Premier League","2019-08-18","Premier League (Matchweek 2)","Sheffield United","3-5-2",1,2.2,"John Lundstram · 47&rsquor;","3","0","Crystal Palace","4-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/7ca12d31/Sheffield-United-Crystal-Palace-August-18-2019-Premier-League","Crystal Palace","Away",990,21,15,16,2,3,11,20,55,9,14,5,9,13,34,24,1
"37","Premier League","2019-08-18","Premier League (Matchweek 2)","Chelsea","4-3-3",1,1.1,"Mason Mount · 7&rsquor;","1","0","Leicester City","4-1-4-1",1,0.8,"Wilfred Ndidi · 67&rsquor;","0","0","https://fbref.com/en/matches/aebf58b9/Chelsea-Leicester-City-August-18-2019-Premier-League","Chelsea","Home",990,25,14,13,8,4,10,23,43.5,13,14,1,13,10,35,25,0
"38","Premier League","2019-08-18","Premier League (Matchweek 2)","Chelsea","4-3-3",1,1.1,"Mason Mount · 7&rsquor;","1","0","Leicester City","4-1-4-1",1,0.8,"Wilfred Ndidi · 67&rsquor;","0","0","https://fbref.com/en/matches/aebf58b9/Chelsea-Leicester-City-August-18-2019-Premier-League","Leicester City","Away",990,29,16,11,17,1,9,19,47.4,10,18,2,16,15,44,21,1
"39","Premier League","2019-08-19","Premier League (Matchweek 2)","Wolverhampton Wanderers","3-5-2",1,0.3,"Rúben Neves · 55&rsquor;","2","0","Manchester United","4-2-3-1",1,1.2,"Anthony Martial · 27&rsquor;","2","0","https://fbref.com/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League","Wolverhampton Wanderers","Home",990,17,9,13,3,1,8,15,53.3,7,11,3,8,14,31,17,0
"40","Premier League","2019-08-19","Premier League (Matchweek 2)","Wolverhampton Wanderers","3-5-2",1,0.3,"Rúben Neves · 55&rsquor;","2","0","Manchester United","4-2-3-1",1,1.2,"Anthony Martial · 27&rsquor;","2","0","https://fbref.com/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League","Manchester United","Away",990,23,15,8,12,3,12,21,57.1,9,5,1,4,5,28,16,0
"41","Premier League","2019-08-23","Premier League (Matchweek 3)","Aston Villa","4-1-4-1",2,1,"Wesley Moraes · 21&rsquor; Anwar El Ghazi · 90+5&rsquor;","2","0","Everton","4-2-3-1",0,1.3,"","3","0","https://fbref.com/en/matches/3e805eff/Aston-Villa-Everton-August-23-2019-Premier-League","Aston Villa","Home",990,12,6,10,2,0,2,15,13.3,13,13,4,9,13,25,27,0
"42","Premier League","2019-08-23","Premier League (Matchweek 3)","Aston Villa","4-1-4-1",2,1,"Wesley Moraes · 21&rsquor; Anwar El Ghazi · 90+5&rsquor;","2","0","Everton","4-2-3-1",0,1.3,"","3","0","https://fbref.com/en/matches/3e805eff/Aston-Villa-Everton-August-23-2019-Premier-League","Everton","Away",990,16,11,7,6,3,6,17,35.3,11,6,2,4,5,21,8,1
"43","Premier League","2019-08-24","Premier League (Matchweek 3)","Norwich City","4-2-3-1",2,1.1,"Todd Cantwell · 6&rsquor; Teemu Pukki · 30&rsquor;","1","0","Chelsea","4-3-3",3,1.5,"Tammy Abraham · 3&rsquor; Mason Mount · 17&rsquor; Tammy Abraham · 68&rsquor;","1","0","https://fbref.com/en/matches/4f4fd2d8/Norwich-City-Chelsea-August-24-2019-Premier-League","Norwich City","Home",990,16,7,7,7,2,3,24,12.5,21,25,10,15,11,27,29,0
"44","Premier League","2019-08-24","Premier League (Matchweek 3)","Norwich City","4-2-3-1",2,1.1,"Todd Cantwell · 6&rsquor; Teemu Pukki · 30&rsquor;","1","0","Chelsea","4-3-3",3,1.5,"Tammy Abraham · 3&rsquor; Mason Mount · 17&rsquor; Tammy Abraham · 68&rsquor;","1","0","https://fbref.com/en/matches/4f4fd2d8/Norwich-City-Chelsea-August-24-2019-Premier-League","Chelsea","Away",990,26,18,15,8,3,15,20,75,5,7,0,7,11,37,9,0
"45","Premier League","2019-08-24","Premier League (Matchweek 3)","Sheffield United","3-5-2",1,0.3,"Oliver McBurnie · 62&rsquor;","1","0","Leicester City","4-3-3",2,0.8,"Jamie Vardy · 38&rsquor; Harvey Barnes · 70&rsquor;","0","0","https://fbref.com/en/matches/48fcf75b/Sheffield-United-Leicester-City-August-24-2019-Premier-League","Sheffield United","Home",990,16,13,8,4,4,6,15,40,9,7,4,3,15,31,16,1
"46","Premier League","2019-08-24","Premier League (Matchweek 3)","Sheffield United","3-5-2",1,0.3,"Oliver McBurnie · 62&rsquor;","1","0","Leicester City","4-3-3",2,0.8,"Jamie Vardy · 38&rsquor; Harvey Barnes · 70&rsquor;","0","0","https://fbref.com/en/matches/48fcf75b/Sheffield-United-Leicester-City-August-24-2019-Premier-League","Leicester City","Away",990,13,7,8,4,1,3,14,21.4,11,13,2,11,11,24,41,0
"47","Premier League","2019-08-24","Premier League (Matchweek 3)","Manchester United","4-2-3-1",1,2.5,"Daniel James · 89&rsquor;","2","0","Crystal Palace","4-5-1",2,1.1,"Jordan Ayew · 32&rsquor; Patrick van Aanholt · 90+3&rsquor;","4","0","https://fbref.com/en/matches/7c1c4078/Manchester-United-Crystal-Palace-August-24-2019-Premier-League","Manchester United","Home",990,9,4,4,3,2,3,12,25,9,5,1,4,6,15,8,0
"48","Premier League","2019-08-24","Premier League (Matchweek 3)","Manchester United","4-2-3-1",1,2.5,"Daniel James · 89&rsquor;","2","0","Crystal Palace","4-5-1",2,1.1,"Jordan Ayew · 32&rsquor; Patrick van Aanholt · 90+3&rsquor;","4","0","https://fbref.com/en/matches/7c1c4078/Manchester-United-Crystal-Palace-August-24-2019-Premier-League","Crystal Palace","Away",990,25,13,15,6,4,9,16,56.3,7,15,6,9,16,41,27,0
"49","Premier League","2019-08-24","Premier League (Matchweek 3)","Watford","4-1-2-1-2",1,2.3,"Andre Gray · 17&rsquor;","1","0","West Ham United","4-2-3-1",3,3.5,"Mark Noble (P) · 3&rsquor; Sébastien Haller · 64&rsquor; Sébastien Haller · 73&rsquor;","1","0","https://fbref.com/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League","Watford","Home",990,17,12,5,10,2,4,14,28.6,10,11,2,9,11,28,13,0
"50","Premier League","2019-08-24","Premier League (Matchweek 3)","Watford","4-1-2-1-2",1,2.3,"Andre Gray · 17&rsquor;","1","0","West Ham United","4-2-3-1",3,3.5,"Mark Noble (P) · 3&rsquor; Sébastien Haller · 64&rsquor; Sébastien Haller · 73&rsquor;","1","0","https://fbref.com/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League","West Ham United","Away",990,17,11,11,6,0,5,13,38.5,8,16,10,6,11,28,23,0
"51","Premier League","2019-08-24","Premier League (Matchweek 3)","Brighton & Hove Albion","3-4-3",0,0.8,"Florin Andone · 30&rsquor;","1","1","Southampton","4-2-2-2",2,1.7,"Moussa Djenepo · 55&rsquor; Nathan Redmond · 90+1&rsquor;","3","0","https://fbref.com/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League","Brighton & Hove Albion","Home",929,16,10,9,5,2,5,16,31.3,11,7,3,4,15,31,10,0
"52","Premier League","2019-08-24","Premier League (Matchweek 3)","Brighton & Hove Albion","3-4-3",0,0.8,"Florin Andone · 30&rsquor;","1","1","Southampton","4-2-2-2",2,1.7,"Moussa Djenepo · 55&rsquor; Nathan Redmond · 90+1&rsquor;","3","0","https://fbref.com/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League","Southampton","Away",990,19,12,14,4,1,9,20,45,11,15,3,12,4,23,24,0
"53","Premier League","2019-08-24","Premier League (Matchweek 3)","Liverpool","4-3-3",3,2.5,"Joël Matip · 41&rsquor; Mohamed Salah (P) · 49&rsquor; Mohamed Salah · 58&rsquor;","1","0","Arsenal","4-3-1-2",1,1,"Lucas Torreira · 85&rsquor;","1","0","https://fbref.com/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League","Liverpool","Home",990,25,17,3,12,10,7,21,33.3,14,7,2,5,9,34,14,2
"54","Premier League","2019-08-24","Premier League (Matchweek 3)","Liverpool","4-3-3",3,2.5,"Joël Matip · 41&rsquor; Mohamed Salah (P) · 49&rsquor; Mohamed Salah · 58&rsquor;","1","0","Arsenal","4-3-1-2",1,1,"Lucas Torreira · 85&rsquor;","1","0","https://fbref.com/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League","Arsenal","Away",990,16,7,10,3,3,6,15,40,9,21,13,8,7,23,28,2
"55","Premier League","2019-08-25","Premier League (Matchweek 3)","Bournemouth","5-4-1",1,2.2,"Harry Wilson · 45+3&rsquor;","1","0","Manchester City","4-3-3",3,3,"Sergio Agüero · 15&rsquor; Raheem Sterling · 43&rsquor; Sergio Agüero · 64&rsquor;","3","0","https://fbref.com/en/matches/7728bd7e/Bournemouth-Manchester-City-August-25-2019-Premier-League","Bournemouth","Home",990,8,5,2,4,2,2,9,22.2,7,15,9,6,16,24,23,0
"56","Premier League","2019-08-25","Premier League (Matchweek 3)","Bournemouth","5-4-1",1,2.2,"Harry Wilson · 45+3&rsquor;","1","0","Manchester City","4-3-3",3,3,"Sergio Agüero · 15&rsquor; Raheem Sterling · 43&rsquor; Sergio Agüero · 64&rsquor;","3","0","https://fbref.com/en/matches/7728bd7e/Bournemouth-Manchester-City-August-25-2019-Premier-League","Manchester City","Away",990,16,12,4,6,6,7,13,53.8,6,5,1,4,8,24,18,2
"57","Premier League","2019-08-25","Premier League (Matchweek 3)","Wolverhampton Wanderers","3-5-2",1,1.5,"Raúl Jiménez (P) · 90+7&rsquor;","0","0","Burnley","4-4-2",1,1.6,"Ashley Barnes · 13&rsquor;","2","0","https://fbref.com/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League","Wolverhampton Wanderers","Home",990,9,7,7,2,0,5,10,50,5,6,3,3,6,15,29,0
"58","Premier League","2019-08-25","Premier League (Matchweek 3)","Wolverhampton Wanderers","3-5-2",1,1.5,"Raúl Jiménez (P) · 90+7&rsquor;","0","0","Burnley","4-4-2",1,1.6,"Ashley Barnes · 13&rsquor;","2","0","https://fbref.com/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League","Burnley","Away",990,12,7,6,5,1,6,14,42.9,8,11,7,4,11,23,29,0
"59","Premier League","2019-08-25","Premier League (Matchweek 3)","Tottenham Hotspur","4-2-3-1",0,1.1,"","2","0","Newcastle United","5-4-1",1,0.8,"Joelinton · 27&rsquor;","2","0","https://fbref.com/en/matches/c224d1e8/Tottenham-Hotspur-Newcastle-United-August-25-2019-Premier-League","Tottenham Hotspur","Home",990,10,6,4,5,1,6,9,66.7,3,6,3,3,7,17,6,0
"60","Premier League","2019-08-25","Premier League (Matchweek 3)","Tottenham Hotspur","4-2-3-1",0,1.1,"","2","0","Newcastle United","5-4-1",1,0.8,"Joelinton · 27&rsquor;","2","0","https://fbref.com/en/matches/c224d1e8/Tottenham-Hotspur-Newcastle-United-August-25-2019-Premier-League","Newcastle United","Away",990,15,10,13,2,0,5,17,29.4,12,17,7,10,11,26,56,0
